"Tumor","psi_1_mean","psi_1_lower","psi_1_upper","psi_2_mean","psi_2_lower","psi_2_upper","psi_3_mean","psi_3_lower","psi_3_upper","X_mean","X_lower","X_upper","N_mean","N_lower","N_upper","phi_mean","phi_lower","phi_upper"
"TARGET.30.PAIFXV.01A",0.226814784574098,0.152208235748995,0.306058926373928,0.446259176781346,0.290210607080064,0.5902015353826,0.326926038644555,0.245958363322709,0.42077724642533,0.353519127729243,0.324674367010196,0.388323194444805,21.0004079235063,14.9525238467897,26.8336004467419,0.617241009111007,0.523981547030586,0.749499532046003
"TARGET.30.PAIPGU.01A",0.365240408351442,0.321280050956175,0.409776704416432,0.54104442605503,0.48335976782177,0.595856420500109,0.0937151655935277,0.0677342373816454,0.122199243591977,0.241337379767223,0.224256037969615,0.260499092924137,17.7401760838978,14.5859896997097,20.8700761218122,0.329856710262944,0.297567668559259,0.368025447115022
"TARGET.30.PAISNS.01A",0.270776881278803,0.23639725230378,0.306611896750348,0.44230927562265,0.395154730343465,0.488945508729334,0.286913843098547,0.252285587809781,0.322700916828353,0.23814594111566,0.226395221996488,0.250332345627749,22.3161692207202,18.9813767365353,25.6067016255848,0.323546805841136,0.301461724778867,0.347238723751082
"TARGET.30.PAITCI.01A",0.219863633800103,0.186672800398616,0.256293651857875,0.397660235423895,0.329484047955512,0.458386026762598,0.382476130776002,0.335821740325468,0.432582049044652,0.276495772255202,0.26193145978402,0.29452877595347,22.9477325551322,18.6455531079761,27.1264479317952,0.402935212964723,0.371024741055099,0.444651051692325
"TARGET.30.PAIVHE.01A",0.202653596511312,0.160679655652784,0.256602823358961,0.400857568719402,0.270690471119582,0.49335151583829,0.396488834769285,0.330071386381976,0.488610667099415,0.323888217059458,0.301764437830417,0.351887235643324,25.0639073924588,18.8549985181439,32.1683105280363,0.523170715107822,0.462576033471666,0.608317096733134
"TARGET.30.PAIVMJ.01A",0.14886108577587,0.0672646205022021,0.249992023725537,0.546937425498672,0.315311611511365,0.73526345842035,0.304201488725458,0.176225615791266,0.477833484717446,0.378532292516883,0.303444733748384,0.452636594220414,14.8527021801248,10.9162692081106,21.5855079400517,0.739153555105531,0.46683222674272,1.17837910901738
"TARGET.30.PAIVZR.01A",0.133207676195249,0.0812782850063855,0.208236664759117,0.568860511410614,0.364224842675772,0.685463320423703,0.297931812394137,0.217515518807481,0.441873181371919,0.318543397727784,0.274798877662159,0.389881509994484,17.8834776769976,11.4854591542062,24.0755869995647,0.515305129328368,0.398807109231316,0.756525566360586
"TARGET.30.PAIXFZ.01A",0.360630476342826,0.282656416511179,0.493606986355668,0.514226460583928,0.334808033236346,0.619870133750544,0.125143063073246,0.0799980330325699,0.18576530370913,0.328436665039575,0.294024368070174,0.380941788851491,20.6538787626061,13.7939584729795,28.5738865589344,0.539854233124948,0.443425114255724,0.717497781188828
"TARGET.30.PAKGCI.01A",0.389073764276007,0.339289762957124,0.459625691711356,0.486556788605066,0.39940786509095,0.546874334017315,0.124369447118927,0.095731623957037,0.156022206331185,0.294863203887506,0.27743568927175,0.322496311569947,25.0232118697476,18.5817659189822,30.5662682762878,0.44626900132136,0.404696000799773,0.51780835519088
"TARGET.30.PAKHAV.01A",0.161371668181476,0.122329072255419,0.208861992191554,0.37685157728697,0.249761328114552,0.471442400820748,0.461776754531554,0.390189740185117,0.554248608312924,0.309173216307949,0.285380034157378,0.336624503079463,18.8569276893048,14.9156902578398,23.3827836605198,0.482865171618843,0.422869618017389,0.559278445636591
"TARGET.30.PAKINP.01A",0.106498171146054,0.083183759456688,0.131298101047867,0.400518242294081,0.35903708744898,0.441375382985807,0.492983586559865,0.457053580314283,0.53028051952952,0.242637705741679,0.233068936569675,0.252357924582679,25.9644561514921,22.3040586148251,29.6346392347906,0.33215325296362,0.31380883137947,0.351311819530607
"TARGET.30.PAKYZS.01A",0.455392430805396,0.275183902285044,0.635330191334705,0.46858150501694,0.261776888607535,0.68088671995495,0.0760260641776639,0.0298249560828374,0.138429562387652,0.406179857631808,0.352606237583718,0.438055644577123,19.9373207181725,16.774934558201,25.1806793573889,0.848660152145879,0.610750218804087,1.0441858049628
"TARGET.30.PAKZRH.01A",0.418083828089865,0.300344237424877,0.557558121969347,0.45147939531763,0.269910660864023,0.605147974978896,0.130436776592505,0.0766084399596711,0.196248388185757,0.354682307779297,0.308837889909194,0.3959851004033,16.2370169393376,12.2286335833528,21.6934215659996,0.624050275252572,0.480743143557979,0.785036976232043
"TARGET.30.PALBFW.01A",0.10422805874571,0.0600168466519034,0.157636088519538,0.426063399264802,0.280559839436619,0.541331312098876,0.469708541989488,0.378976630007971,0.583865789388741,0.355033936026213,0.328287971465433,0.384624978854425,22.6597568402659,17.4326681967047,28.8980457613953,0.621698986636274,0.534394639014785,0.73321011125819
"TARGET.30.PALCBW.01A",0.236511546821487,0.186333400197573,0.292988761099034,0.705553534122743,0.628269806093126,0.774871193188204,0.0579349190557702,0.0281778453152489,0.0932764105551519,0.29054153346136,0.264599240991414,0.323818589987999,21.622565564235,16.8598401065407,26.2543816458312,0.436481431366441,0.376659339756223,0.521546949301705
"TARGET.30.PALEAC.01A",0.166780139129314,0.132829551202309,0.205509304504662,0.52936094226984,0.450617237332417,0.591925829564146,0.303858918600846,0.257147790293341,0.360943056816171,0.262934295449312,0.243257430240127,0.292070347849912,19.6231687844623,14.8953561266035,23.9037238212067,0.373887482562717,0.333267094812349,0.438704143456191
"TARGET.30.PALETP.01A",0.182598596673372,0.127084685412471,0.250731805680058,0.445068376948069,0.283532226502284,0.572041201445365,0.372333026378559,0.286312602324559,0.480846036485362,0.343757436497867,0.310277156897981,0.379937012246879,20.1995900948324,14.7925312750241,26.8504836655961,0.585190736573465,0.484521905917334,0.71329579811342
"TARGET.30.PALEVG.01A",0.0400993384233928,0.0205069661605809,0.0637705037267436,0.57377308003509,0.504798514034274,0.634818299104276,0.386127581541518,0.332505552712581,0.447617534942725,0.278449076983366,0.257975261377433,0.304195445283349,19.2485803870078,15.5188196568354,23.091250909521,0.407685840476552,0.362784075894333,0.468745555871007
"TARGET.30.PALFSE.01A",0.308613834916217,0.150031503542487,0.486257559447927,0.536833221240195,0.30551860830902,0.769819174078842,0.154552943843587,0.0615797356919123,0.269790465740657,0.435421371357245,0.359754603430704,0.482805785669253,17.6602734716359,14.9744523760209,22.7456549028661,1.0857120660457,0.635607191091998,1.685017653449
"TARGET.30.PALHVD.01A",0.093624223647831,0.0715653329817961,0.116957455283538,0.339154451110593,0.293789269408468,0.38300039287719,0.567221325241576,0.526912647221855,0.608098505012603,0.221442260761663,0.210401571134367,0.233348190235109,18.2003676757317,15.76430743512,20.7992806667792,0.292599536323902,0.273056431559252,0.314332187179249
"TARGET.30.PALIIN.01A",0.181653395538198,0.151221613718103,0.212233178348898,0.530385375304512,0.477461804716715,0.582432886686822,0.28796122915729,0.248153937564592,0.329146154960236,0.238096974912585,0.223029975264636,0.255154792222327,20.5415335254173,17.0961424318558,23.9112990348224,0.323559336464272,0.295349406183779,0.356990946269791
